nr;navn;url;emnekode;aar;semester
1;Engelsk Emne 1;https://student.oslomet.no/studier/-/studieinfo/emne/M5GEN1100/2024/H%C3%98ST ;M5GEN1100;2024;HØST
2;Engelsk Emne 4;https://student.oslomet.no/studier/-/studieinfo/emne/M5GEN2100/2024/H%C3%98ST ;M5GEN2100;2024;HØST
3;Matematikk Emne 4;https://student.oslomet.no/studier/-/studieinfo/emne/M5GMT2100/2024/H%C3%98ST ;M5GMT2100;2024;HØST
4;PEL Emne 1;https://student.oslomet.no/studier/-/studieinfo/emne/M5GPE1100/2024/H%C3%98ST ;M5GPE1100;2024;HØST
5;PEL Emne 2;https://student.oslomet.no/studier/-/studieinfo/emne/M5GPE2100/2024/H%C3%98ST ;M5GPE2100;2024;HØST
6;Praksis 1;https://student.oslomet.no/studier/-/studieinfo/emne/M5GP1000/2024/H%C3%98ST ;M5GP1000;2024;HØST
7;RLE 1 Emne 1;https://student.oslomet.no/studier/-/studieinfo/emne/M5GRL2100/2024/H%C3%98ST ;M5GRL2100;2024;HØST
8;RLE 1 Emne 2;https://student.oslomet.no/studier/-/studieinfo/emne/M5GRL2200/2024/H%C3%98ST ;M5GRL2200;2024;HØST
9;Kunst & Håndverk 1 Emne 1;https://student.oslomet.no/studier/-/studieinfo/emne/MGKH2100/2024/H%C3%98ST ;MGKH2100;2024;HØST
10;Naturfag 1 Emne 1;https://student.oslomet.no/studier/-/studieinfo/emne/M5GNA2100/2024/H%C3%98ST ;M5GNA2100;2024;HØST
11;Naturfag 1 Emne 2;https://student.oslomet.no/studier/-/studieinfo/emne/M5GNA2200/2024/H%C3%98ST ;M5GNA2200;2024;HØST
12;Kunst & Håndverk 2 Emne 2;https://student.oslomet.no/studier/-/studieinfo/emne/MGKH3100/2024/H%C3%98ST ;MGKH3100;2024;HØST
13;Naturfag 2 Emne 3;https://student.oslomet.no/studier/-/studieinfo/emne/M5GNA3100/2024/H%C3%98ST ;M5GNA3100;2024;HØST
14;SpesPed;https://student.oslomet.no/studier/-/studieinfo/emne/MGPE3300/2024/H%C3%98ST ;MGPE3300;2024;HØST
15;Kroppsøving og kroppsøvingsdidaktikk 1;https://student.oslomet.no/studier/-/studieinfo/emne/MGKP4101/2024/H%C3%98ST ;MGKP4101;2024;HØST
16;Norsk og norskdidaktikk 2;https://student.oslomet.no/studier/-/studieinfo/emne/MGNO4200/2024/H%C3%98ST ;MGNO4200;2024;HØST
17;Vitenskapsteori og metode;https://student.oslomet.no/studier/-/studieinfo/emne/MGVM4100/2024/H%C3%98ST ;MGVM4100;2024;HØST
18;Musikk og Musikkdidaktikk 2;https://student.oslomet.no/studier/-/studieinfo/emne/MGMU4200/2024/H%C3%98ST ;MGMU4200;2024;HØST
19;Samfunnsfag og samfunnsfagdidaktikk 3;https://student.oslomet.no/studier/-/studieinfo/emne/MGSF5100/2024/H%C3%98ST ;MGSF5100;2024;HØST
20;Masteroppgave;https://student.oslomet.no/studier/-/studieinfo/emne/MGMO5900/2024/H%C3%98ST ;MGMO5900;2024;HØST
